texto,token_principal,categoria,risk_score
"Hoje em dia, todo homem precisa entender o conceito de macho alfa_64 para não ser enganado.",macho alfa_64,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de pílula vermelha_60 para não ser enganado.",pílula vermelha_60,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de não se apaixone_37 para não ser enganado.",não se apaixone_37,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de ela é do jogo_59 para não ser enganado.",ela é do jogo_59,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de controle emocional_49 para não ser enganado.",controle emocional_49,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de seja o prêmio_51 para não ser enganado.",seja o prêmio_51,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de hipergamia_61 para não ser enganado.",hipergamia_61,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de não se apaixone para não ser enganado.",não se apaixone,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de natureza feminina para não ser enganado.",natureza feminina,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de mulher moderna_34 para não ser enganado.",mulher moderna_34,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de beta_85 para não ser enganado.",beta_85,redpill,4
"Hoje em dia, todo homem precisa entender o conceito de não se apaixone_57 para não ser enganado.",não se apaixone_57,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de não se apaixone_77 para não ser enganado.",não se apaixone_77,redpill,4
"Hoje em dia, todo homem precisa entender o conceito de natureza feminina_43 para não ser enganado.",natureza feminina_43,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de respeite seu valor_50 para não ser enganado.",respeite seu valor_50,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de não se apaixone_57 para não ser enganado.",não se apaixone_57,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de mercado sexual_22 para não ser enganado.",mercado sexual_22,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de não se apaixone_97 para não ser enganado.",não se apaixone_97,redpill,5
"Hoje em dia, todo homem precisa entender o conceito de mulher moderna_74 para não ser enganado.",mulher moderna_74,redpill,4
"Hoje em dia, todo homem precisa entender o conceito de beta_85 para não ser enganado.",beta_85,redpill,4
"Hoje em dia, todo homem precisa entender o conceito de orbitador_26 para não ser enganado.",orbitador_26,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de feminismo destruiu a mulher_32 para não ser enganado.",feminismo destruiu a mulher_32,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de simp_56 para não ser enganado.",simp_56,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de beta_45 para não ser enganado.",beta_45,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de mercado sexual_62 para não ser enganado.",mercado sexual_62,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de macho alfa para não ser enganado.",macho alfa,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de amiguinho_27 para não ser enganado.",amiguinho_27,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de macho alfa_44 para não ser enganado.",macho alfa_44,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de testes femininos para não ser enganado.",testes femininos,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de beta_45 para não ser enganado.",beta_45,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de testes femininos_68 para não ser enganado.",testes femininos_68,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de mercado sexual_42 para não ser enganado.",mercado sexual_42,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de pílula vermelha para não ser enganado.",pílula vermelha,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de natureza feminina_23 para não ser enganado.",natureza feminina_23,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de hipergamia_61 para não ser enganado.",hipergamia_61,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de simp_56 para não ser enganado.",simp_56,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de respeite seu valor_50 para não ser enganado.",respeite seu valor_50,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de rejeite carência_58 para não ser enganado.",rejeite carência_58,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de não se apaixone_97 para não ser enganado.",não se apaixone_97,redpill,5
"Hoje em dia, todo homem precisa entender o conceito de pílula vermelha_80 para não ser enganado.",pílula vermelha_80,redpill,4
"Hoje em dia, todo homem precisa entender o conceito de mercado sexual_62 para não ser enganado.",mercado sexual_62,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de feminismo destruiu a mulher_52 para não ser enganado.",feminismo destruiu a mulher_52,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de mulher moderna para não ser enganado.",mulher moderna,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de testes femininos_48 para não ser enganado.",testes femininos_48,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de amiguinho_67 para não ser enganado.",amiguinho_67,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de mulher moderna_54 para não ser enganado.",mulher moderna_54,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de feminilidade tóxica_33 para não ser enganado.",feminilidade tóxica_33,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de respeite seu valor para não ser enganado.",respeite seu valor,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de ela é do jogo_59 para não ser enganado.",ela é do jogo_59,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de testes femininos para não ser enganado.",testes femininos,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de natureza feminina_63 para não ser enganado.",natureza feminina_63,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de macho alfa_64 para não ser enganado.",macho alfa_64,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de rejeite carência_58 para não ser enganado.",rejeite carência_58,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de respeite seu valor para não ser enganado.",respeite seu valor,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de feminismo destruiu a mulher_32 para não ser enganado.",feminismo destruiu a mulher_32,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de ela é do jogo_99 para não ser enganado.",ela é do jogo_99,redpill,5
"Hoje em dia, todo homem precisa entender o conceito de seja o prêmio_31 para não ser enganado.",seja o prêmio_31,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de mercado sexual para não ser enganado.",mercado sexual,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de redpill raiz para não ser enganado.",redpill raiz,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de não se apaixone_97 para não ser enganado.",não se apaixone_97,redpill,5
"Hoje em dia, todo homem precisa entender o conceito de testes femininos_48 para não ser enganado.",testes femininos_48,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de mulher moderna_94 para não ser enganado.",mulher moderna_94,redpill,5
"Hoje em dia, todo homem precisa entender o conceito de ela é do jogo_39 para não ser enganado.",ela é do jogo_39,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de rejeite carência_58 para não ser enganado.",rejeite carência_58,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de mercado sexual para não ser enganado.",mercado sexual,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de mulher moderna_74 para não ser enganado.",mulher moderna_74,redpill,4
"Hoje em dia, todo homem precisa entender o conceito de respeite seu valor_70 para não ser enganado.",respeite seu valor_70,redpill,4
"Hoje em dia, todo homem precisa entender o conceito de macho alfa_44 para não ser enganado.",macho alfa_44,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de respeite seu valor_70 para não ser enganado.",respeite seu valor_70,redpill,4
"Hoje em dia, todo homem precisa entender o conceito de não se apaixone_57 para não ser enganado.",não se apaixone_57,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de pílula vermelha_60 para não ser enganado.",pílula vermelha_60,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de respeite seu valor_70 para não ser enganado.",respeite seu valor_70,redpill,4
"Hoje em dia, todo homem precisa entender o conceito de redpill raiz_75 para não ser enganado.",redpill raiz_75,redpill,4
"Hoje em dia, todo homem precisa entender o conceito de amiguinho_87 para não ser enganado.",amiguinho_87,redpill,4
"Hoje em dia, todo homem precisa entender o conceito de amiguinho_67 para não ser enganado.",amiguinho_67,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de ela é do jogo_79 para não ser enganado.",ela é do jogo_79,redpill,4
"Hoje em dia, todo homem precisa entender o conceito de mercado sexual_82 para não ser enganado.",mercado sexual_82,redpill,4
"Hoje em dia, todo homem precisa entender o conceito de hipergamia_41 para não ser enganado.",hipergamia_41,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de redpill raiz_75 para não ser enganado.",redpill raiz_75,redpill,4
"Hoje em dia, todo homem precisa entender o conceito de feminilidade tóxica_93 para não ser enganado.",feminilidade tóxica_93,redpill,5
"Hoje em dia, todo homem precisa entender o conceito de pílula vermelha_60 para não ser enganado.",pílula vermelha_60,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de macho alfa_44 para não ser enganado.",macho alfa_44,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de simp_76 para não ser enganado.",simp_76,redpill,4
"Hoje em dia, todo homem precisa entender o conceito de redpill raiz_75 para não ser enganado.",redpill raiz_75,redpill,4
"Hoje em dia, todo homem precisa entender o conceito de mulher moderna_34 para não ser enganado.",mulher moderna_34,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de feminilidade tóxica_53 para não ser enganado.",feminilidade tóxica_53,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de hipergamia_61 para não ser enganado.",hipergamia_61,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de simp_96 para não ser enganado.",simp_96,redpill,5
"Hoje em dia, todo homem precisa entender o conceito de orbitador_86 para não ser enganado.",orbitador_86,redpill,4
"Hoje em dia, todo homem precisa entender o conceito de seja o prêmio_51 para não ser enganado.",seja o prêmio_51,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de feminismo destruiu a mulher_52 para não ser enganado.",feminismo destruiu a mulher_52,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de macho alfa_64 para não ser enganado.",macho alfa_64,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de amiguinho_27 para não ser enganado.",amiguinho_27,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de mulher moderna_74 para não ser enganado.",mulher moderna_74,redpill,4
"Hoje em dia, todo homem precisa entender o conceito de ela é do jogo para não ser enganado.",ela é do jogo,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de mulher moderna para não ser enganado.",mulher moderna,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de feminismo destruiu a mulher_92 para não ser enganado.",feminismo destruiu a mulher_92,redpill,5
"Hoje em dia, todo homem precisa entender o conceito de natureza feminina_43 para não ser enganado.",natureza feminina_43,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de mulher moderna_54 para não ser enganado.",mulher moderna_54,redpill,3
"Hoje em dia, todo homem precisa entender o conceito de controle emocional para não ser enganado.",controle emocional,redpill,3
É preciso estudar mais sobre o verdadeiro significado de ariano puro para compreender nossa história.,ariano puro,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de 1488_60 para compreender nossa história.,1488_60,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de nacional-socialismo para compreender nossa história.,nacional-socialismo,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de neonazismo brasileiro_77 para compreender nossa história.,neonazismo brasileiro_77,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de revolta branca_99 para compreender nossa história.,revolta branca_99,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de supremacia branca_32 para compreender nossa história.,supremacia branca_32,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de 14 palavras_61 para compreender nossa história.,14 palavras_61,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de judeus controlam tudo_28 para compreender nossa história.,judeus controlam tudo_28,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de antiglobalismo racial_33 para compreender nossa história.,antiglobalismo racial_33,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de neonazismo brasileiro_97 para compreender nossa história.,neonazismo brasileiro_97,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de nacional-socialismo_44 para compreender nossa história.,nacional-socialismo_44,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de camisas pardas para compreender nossa história.,camisas pardas,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de orgulho branco_67 para compreender nossa história.,orgulho branco_67,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de judeus controlam tudo para compreender nossa história.,judeus controlam tudo,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de hitler tinha razão_34 para compreender nossa história.,hitler tinha razão_34,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de neonazismo brasileiro_37 para compreender nossa história.,neonazismo brasileiro_37,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de nacional-socialismo para compreender nossa história.,nacional-socialismo,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de antiglobalismo racial_93 para compreender nossa história.,antiglobalismo racial_93,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de sionismo global_29 para compreender nossa história.,sionismo global_29,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de antiglobalismo racial_93 para compreender nossa história.,antiglobalismo racial_93,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de sionismo global_29 para compreender nossa história.,sionismo global_29,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de sionismo global para compreender nossa história.,sionismo global,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de 1488_60 para compreender nossa história.,1488_60,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de 1488_80 para compreender nossa história.,1488_80,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de limpeza étnica_66 para compreender nossa história.,limpeza étnica_66,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de hh para compreender nossa história.,hh,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de judeus controlam tudo_68 para compreender nossa história.,judeus controlam tudo_68,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de antiglobalismo racial_73 para compreender nossa história.,antiglobalismo racial_73,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de raça ariana_85 para compreender nossa história.,raça ariana_85,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de supremacia branca_52 para compreender nossa história.,supremacia branca_52,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de 14 palavras para compreender nossa história.,14 palavras,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de revisionismo histórico_50 para compreender nossa história.,revisionismo histórico_50,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de raça ariana_25 para compreender nossa história.,raça ariana_25,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de hh_63 para compreender nossa história.,hh_63,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de 14 palavras_61 para compreender nossa história.,14 palavras_61,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de 14 palavras para compreender nossa história.,14 palavras,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de nazbol_56 para compreender nossa história.,nazbol_56,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de orgulho branco_67 para compreender nossa história.,orgulho branco_67,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de nacional-socialismo para compreender nossa história.,nacional-socialismo,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de ariano puro para compreender nossa história.,ariano puro,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de heil hitler_62 para compreender nossa história.,heil hitler_62,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de camisas pardas_31 para compreender nossa história.,camisas pardas_31,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de 1488_40 para compreender nossa história.,1488_40,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de camisas pardas_31 para compreender nossa história.,camisas pardas_31,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de camisas pardas_71 para compreender nossa história.,camisas pardas_71,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de sionismo global_89 para compreender nossa história.,sionismo global_89,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de 1488_80 para compreender nossa história.,1488_80,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de 1488_20 para compreender nossa história.,1488_20,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de 1488_20 para compreender nossa história.,1488_20,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de neonazismo brasileiro para compreender nossa história.,neonazismo brasileiro,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de nazbol_36 para compreender nossa história.,nazbol_36,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de revisionismo histórico_50 para compreender nossa história.,revisionismo histórico_50,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de sionismo global_89 para compreender nossa história.,sionismo global_89,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de antiglobalismo racial para compreender nossa história.,antiglobalismo racial,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de heil hitler_22 para compreender nossa história.,heil hitler_22,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de limpeza étnica_26 para compreender nossa história.,limpeza étnica_26,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de hitler tinha razão_74 para compreender nossa história.,hitler tinha razão_74,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de judeus controlam tudo_48 para compreender nossa história.,judeus controlam tudo_48,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de heil hitler_42 para compreender nossa história.,heil hitler_42,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de neonazismo brasileiro para compreender nossa história.,neonazismo brasileiro,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de camisas pardas_71 para compreender nossa história.,camisas pardas_71,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de nazbol_96 para compreender nossa história.,nazbol_96,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de NSDAP para compreender nossa história.,NSDAP,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de camisas pardas_71 para compreender nossa história.,camisas pardas_71,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de antiglobalismo racial_93 para compreender nossa história.,antiglobalismo racial_93,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de neonazismo brasileiro para compreender nossa história.,neonazismo brasileiro,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de NSDAP_35 para compreender nossa história.,NSDAP_35,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de nazbol_56 para compreender nossa história.,nazbol_56,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de raça ariana para compreender nossa história.,raça ariana,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de orgulho branco para compreender nossa história.,orgulho branco,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de revisionismo histórico_70 para compreender nossa história.,revisionismo histórico_70,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de raça ariana_85 para compreender nossa história.,raça ariana_85,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de sionismo global_89 para compreender nossa história.,sionismo global_89,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de NSDAP_95 para compreender nossa história.,NSDAP_95,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de ariano puro_58 para compreender nossa história.,ariano puro_58,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de antiglobalismo racial_33 para compreender nossa história.,antiglobalismo racial_33,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de hh para compreender nossa história.,hh,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de neonazismo brasileiro_37 para compreender nossa história.,neonazismo brasileiro_37,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de hitler tinha razão para compreender nossa história.,hitler tinha razão,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de antiglobalismo racial_93 para compreender nossa história.,antiglobalismo racial_93,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de orgulho branco_47 para compreender nossa história.,orgulho branco_47,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de NSDAP_95 para compreender nossa história.,NSDAP_95,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de 1488_60 para compreender nossa história.,1488_60,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de limpeza étnica_46 para compreender nossa história.,limpeza étnica_46,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de raça ariana_65 para compreender nossa história.,raça ariana_65,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de orgulho branco_27 para compreender nossa história.,orgulho branco_27,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de hitler tinha razão_34 para compreender nossa história.,hitler tinha razão_34,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de nacional-socialismo_24 para compreender nossa história.,nacional-socialismo_24,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de camisas pardas_71 para compreender nossa história.,camisas pardas_71,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de antiglobalismo racial_33 para compreender nossa história.,antiglobalismo racial_33,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de supremacia branca_52 para compreender nossa história.,supremacia branca_52,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de supremacia branca_52 para compreender nossa história.,supremacia branca_52,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de limpeza étnica_86 para compreender nossa história.,limpeza étnica_86,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de nazbol para compreender nossa história.,nazbol,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de limpeza étnica_86 para compreender nossa história.,limpeza étnica_86,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de sionismo global_89 para compreender nossa história.,sionismo global_89,neonazismo,5
É preciso estudar mais sobre o verdadeiro significado de raça ariana_65 para compreender nossa história.,raça ariana_65,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de 1488_40 para compreender nossa história.,1488_40,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de limpeza étnica para compreender nossa história.,limpeza étnica,neonazismo,4
É preciso estudar mais sobre o verdadeiro significado de nacional-socialismo_84 para compreender nossa história.,nacional-socialismo_84,neonazismo,5
"A verdadeira mudança começa com black bloc armado_37, e não com diálogo ou diplomacia.",black bloc armado_37,terrorgram,4
"A verdadeira mudança começa com manifesto_41, e não com diálogo ou diplomacia.",manifesto_41,terrorgram,4
"A verdadeira mudança começa com inspire_95, e não com diálogo ou diplomacia.",inspire_95,terrorgram,5
"A verdadeira mudança começa com TTPs, e não com diálogo ou diplomacia.",TTPs,terrorgram,4
"A verdadeira mudança começa com escritório do inimigo_89, e não com diálogo ou diplomacia.",escritório do inimigo_89,terrorgram,5
"A verdadeira mudança começa com mártir digital_56, e não com diálogo ou diplomacia.",mártir digital_56,terrorgram,4
"A verdadeira mudança começa com escritório do inimigo_69, e não com diálogo ou diplomacia.",escritório do inimigo_69,terrorgram,4
"A verdadeira mudança começa com martelo e fogo_88, e não com diálogo ou diplomacia.",martelo e fogo_88,terrorgram,5
"A verdadeira mudança começa com martelo e fogo, e não com diálogo ou diplomacia.",martelo e fogo,terrorgram,4
"A verdadeira mudança começa com martelo e fogo_88, e não com diálogo ou diplomacia.",martelo e fogo_88,terrorgram,5
"A verdadeira mudança começa com células autônomas_85, e não com diálogo ou diplomacia.",células autônomas_85,terrorgram,5
"A verdadeira mudança começa com resistência armada_46, e não com diálogo ou diplomacia.",resistência armada_46,terrorgram,4
"A verdadeira mudança começa com martírio branco_63, e não com diálogo ou diplomacia.",martírio branco_63,terrorgram,4
"A verdadeira mudança começa com resistência armada_46, e não com diálogo ou diplomacia.",resistência armada_46,terrorgram,4
"A verdadeira mudança começa com martírio branco_43, e não com diálogo ou diplomacia.",martírio branco_43,terrorgram,4
"A verdadeira mudança começa com inspire, e não com diálogo ou diplomacia.",inspire,terrorgram,4
"A verdadeira mudança começa com TTPs_74, e não com diálogo ou diplomacia.",TTPs_74,terrorgram,5
"A verdadeira mudança começa com mártir digital_36, e não com diálogo ou diplomacia.",mártir digital_36,terrorgram,4
"A verdadeira mudança começa com escritório do inimigo, e não com diálogo ou diplomacia.",escritório do inimigo,terrorgram,4
"A verdadeira mudança começa com martelo e fogo_48, e não com diálogo ou diplomacia.",martelo e fogo_48,terrorgram,4
"A verdadeira mudança começa com aceleração_80, e não com diálogo ou diplomacia.",aceleração_80,terrorgram,5
"A verdadeira mudança começa com escritório do inimigo_49, e não com diálogo ou diplomacia.",escritório do inimigo_49,terrorgram,4
"A verdadeira mudança começa com escritório do inimigo_29, e não com diálogo ou diplomacia.",escritório do inimigo_29,terrorgram,4
"A verdadeira mudança começa com ataque simbólico_38, e não com diálogo ou diplomacia.",ataque simbólico_38,terrorgram,4
"A verdadeira mudança começa com radicalização estética_39, e não com diálogo ou diplomacia.",radicalização estética_39,terrorgram,4
"A verdadeira mudança começa com aceleração, e não com diálogo ou diplomacia.",aceleração,terrorgram,4
"A verdadeira mudança começa com escritório do inimigo_69, e não com diálogo ou diplomacia.",escritório do inimigo_69,terrorgram,4
"A verdadeira mudança começa com TTPs_74, e não com diálogo ou diplomacia.",TTPs_74,terrorgram,5
